"Site","Season","Species","Total_Calls","Vegetation_percentage","Tar_road_percentage","Mean_lux","Built_up_percentage","Moon_percentage","Lux_cat_5","Lux_cat_1","Builtup_cat"
"RUGR1","non-winter","PITE",25,0,0,0,0,95.1,"Low","Low","zero built-up"
"RUGR1","non-winter","Taph.",0,0,0,0,0,95.1,"Low","Low","zero built-up"
"RUGR1","non-winter","Tad.aeg/Mop.plic",0,0,0,0,0,95.1,"Low","Low","zero built-up"
"RUGR1","winter","PICE",95,0,0,0,0,14.8,"Low","Low","zero built-up"
"RUGR1","winter","PITE",40,0,0,0,0,14.8,"Low","Low","zero built-up"
"RUGR1","winter","Taph.",1,0,0,0,0,14.8,"Low","Low","zero built-up"
"RUGR1","winter","Tad.aeg/Mop.plic",3,0,0,0,0,14.8,"Low","Low","zero built-up"
"RUSH1","non-winter","PICE",20,12,0,0,0,95.1,"Low","Low","zero built-up"
"RUSH1","non-winter","PITE",20,12,0,0,0,95.1,"Low","Low","zero built-up"
"RUSH1","non-winter","Taph.",0,12,0,0,0,95.1,"Low","Low","zero built-up"
"RUSH1","non-winter","Tad.aeg/Mop.plic",0,12,0,0,0,95.1,"Low","Low","zero built-up"
"RUSH1","winter","PICE",78,12,0,0,0,14.8,"Low","Low","zero built-up"
"RUSH1","winter","PITE",80,12,0,0,0,14.8,"Low","Low","zero built-up"
"RUSH1","winter","Taph.",9,12,0,0,0,14.8,"Low","Low","zero built-up"
"RUSH1","winter","Tad.aeg/Mop.plic",2,12,0,0,0,14.8,"Low","Low","zero built-up"
"RUSH2","non-winter","PICE",0,38,45,27.33,17,85.7,"High","High","built-up"
"RUSH2","non-winter","PITE",182,38,45,27.33,17,85.7,"High","High","built-up"
"RUSH2","non-winter","Taph.",1,38,45,27.33,17,85.7,"High","High","built-up"
"RUSH2","non-winter","Tad.aeg/Mop.plic",0,38,45,27.33,17,85.7,"High","High","built-up"
"RUSH2","winter","PICE",6,38,45,24,17,14.8,"High","High","built-up"
